chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,0,12,ch1-p00-053,"...............At least a liter and half every day. Tea, coffee, and soft drinks are not water. (Use an imperative to give advice)",Use an imperative to give advice,Drink plenty of water,You should drink plenty of water.,Please drink plenty of water.,Don't forget to drink plenty of water.,Drink plenty of water,1,True,4,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Drink plenty of water"
1,0,13,ch1-p00-054,Get them tested once a year. (Use an imperative to give advice).,Use an imperative to give advice,You should look after your eyes.,Look after your eyes,Please look after your eyes.,Don't forget to look after your eyes.,Look after your eyes,1,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Look after your eyes"
1,0,14,ch1-p00-058,"He (have) his hair cut at the hairdresser's ,but now his wife (cut) it for him. (use the correct form of [use to[ and the present or past simple)",Correct the verb,was haveing,"He used to have his hair cut at the hairdresser's ,but now his wife cuts it for him",would have,didn't use to have,"He used to have his hair cut at the hairdresser's ,but now his wife cuts it for him",1,True,4,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: He used to have his hair cut at the hairdresser's ,but now his wife cuts it for him"
1,0,15,ch1-p00-067,"I used to have a bicycle, but someone (steal) it last month.",Correct the verb,"I used to have a bicycle, but someone stole it last month",was haveing,would have,didn't use to have,"I used to have a bicycle, but someone stole it last month",1,True,3,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: I used to have a bicycle, but someone stole it last month "
1,0,16,ch1-p00-068,"There (be) a house here, but they ( knock ) it down two years ago. (Use the correct form of ""used to"" and present or past simple)",Correct the verb,was being,"There used to be a house here, but they knocked it down two years ago",would be,didn't use to be,"There used to be a house here, but they knocked it down two years ago",1,True,3,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: There used to be a house here, but they knocked it down two years ago"
1,0,17,ch1-p00-001,Khalid (play) football when he broke his ankle. (Correct),Correct,played,plays,is playing,was playing,was playing,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was playing"
1,0,18,ch1-p00-003,She told us to be quiet as we ................ (make) too much noise. (Correct the form of the verb),Correct the form of the verb,made,were making,makes,is making,were making,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were making"
1,0,19,ch1-p00-004,(clean) my room and I (find) E30 under my bed. (Put one verb in the past continuous and one in the past simple),Correct the verb,cleaned,cleans,is cleaning,I was cleaning my room and I found E30 under my bed,I was cleaning my room and I found E30 under my bed,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: I was cleaning my room and I found E30 under my bed"
1,0,20,ch1-p00-005,I (sit) in the park when someone kicked a ball at me.,Correct the verb,sat,sits,was sitting,is sitting,was sitting,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was sitting"
1,0,21,ch1-p00-006,My cousin hid my purse under the stair while I ............. (not / look)[Put the verb in the correct,Correct the verb,wasn't looking,was looking,didn't look,isn't looking,wasn't looking,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: wasn't looking"
1,0,22,ch1-p00-008,We were speeding when we (see)the police car. (correct),correct,sees,saw,is seeing,was seeing,saw,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: saw"
1,0,23,ch1-p00-009,"While my baggage (go) through the X-ray machine, I walked through the metal detector. (correct)",correct,went,goes,is going,was going,was going,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was going"
1,0,24,ch1-p00-010,They …………. in the desert when they …………. a large snake . (camp / see),Correct the verb,camped,camps,were camping,is camping,were camping,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were camping"
1,0,25,ch1-p00-011,"Luckily, Sharifa didn't drive very fast. The child ran into the road. (Join use: whe",Correct the verb,"Luckily, Sharifa wasn't driving very fast when the child ran into the road every day.","Luckily, Sharifa wasn't driving very fast when the child ran into the roads","Luckily, Sharifa wasn't driving very fast when the child ran into the road",had road,"Luckily, Sharifa wasn't driving very fast when the child ran into the road",1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: Luckily, Sharifa wasn't driving very fast when the child ran into the road"
1,0,26,ch1-p00-012,"As he was running, he……………….(fall) down. (Put the verb in the correct form)",Put the verb in the correct form,falls,fell,is falling,was falling,fell,1,False,2,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: fell"
1,0,27,ch1-p00-013,My sister (hide) my purse under the bed while I (not look) . (Correct),Correct,hides,hid,is hiding,was hiding,hid,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: hid"
1,0,28,ch1-p00-014,"While Salam was driving too fast, a boy (run) on the road. (Correct the verb)",Correct the verb,runs,is running,ran,was running,ran,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: ran"
1,0,29,ch1-p00-015,He twisted his ankle while he ( Play ) football.,Correct the verb,was playing,played,plays,is playing,was playing,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was playing"
1,0,30,ch1-p00-016,My phone rang while we (watch) the movie . (Correct the verb),Correct the verb,were watching,watched,watches,is watching,were watching,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were watching"
1,0,31,ch1-p00-017,"As she was doing the washing up, she (drop) on . (Correct)",Correct,drops,is dropping,was dropping,dropped,dropped,1,False,1,"✅ الجواب الصحيح: dropped
📌 راجع قاعدة Correct في الكتاب المدرسي"
1,0,32,ch1-p00-018,He (fall) over as he (come) down the stairs. (Put the verbs in brackets in the correct form),Correct the verb,dropped,drops,is dropping,was dropping,dropped,1,False,1,"✅ الجواب الصحيح: dropped
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,33,ch1-p00-019,He (drive) too fast when suddenly a boy (run) into the road.,Correct the verb,drove,drives,was driving,is driving,was driving,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was driving"
1,0,34,ch1-p00-020,I(think)about you and then you rang me. (Correct the verb),Correct the verb,thinked,thinks,was thinking,is thinking,was thinking,1,False,1,"✅ الجواب الصحيح: was thinking
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,35,ch1-p00-021,"While I (read) a story, I (hear) a strange noise. (Correct)",Correct,readed,reads,"was reading, heard",is reading,"was reading, heard",1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was reading, heard"
1,0,36,ch1-p00-023,She (tell) us to be quiet as we were making too much noise. (Correct the form of the verb),Correct the form of the verb,told,tells,is telling,was telling,told,1,False,2,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: told"
1,0,37,ch1-p00-025,"When I met her at the airport, Muna ( wear ) along blue dress. (Correct the form of the verb)",Correct the form of the verb,weared,wears,is wearing,was wearing,was wearing,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was wearing"
1,0,38,ch1-p00-026,They (camp) in the desert when they saw a large snake.(Correct the form of the verb in the brackets),Correct the form of the verb in the brackets,were camping,camped,camps,is camping,were camping,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were camping"
1,0,39,ch1-p00-027,"While Ali (have) a shower, somebody (knock) at the front door.(Correct the form of the verb)",Correct the form of the verb,had,has,is having,"was having , knocked","was having , knocked",1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was having , knocked"
1,0,40,ch1-p00-028,"As she (carry) the shopping from the car, my grandmother slipped and broke her ankle. (Correct the form of the verb in brackets)",Correct the form of the verb in brackets,was carrying,carryed,carrys,is carrying,was carrying,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was carrying"
1,0,41,ch1-p00-029,A thief took our clothes while we (swim). (Correct the form of the verb),Correct the form of the verb,swam,swims,A thief took our clothes while we were swimming,is swimming,A thief took our clothes while we were swimming,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: A thief took our clothes while we were swimming"
1,0,42,ch1-p00-030,My sister hid my purse under the bed while I ……………(not / look)(Correct the form of the ver,Correct the verb,was looking,didn't look,wasn't looking,isn't looking,wasn't looking,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: wasn't looking"
1,0,43,ch1-p00-031,was driving to hospital when my mobile phone (ring) (Correct the form of the vert,Correct the verb,rings,rang,is ringing,was ringing,rang,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: rang"
1,0,44,ch1-p00-032,"A bee flew in the kitchen through the open window while I (make) a birthday cake , ( Correct the form of the verb)",Correct the verb,was making,made,makes,is making,was making,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was making"
1,0,45,ch1-p00-033,"While I was eating breakfast, a bird (flow) into the kitchen. (correct the form of the verb)",correct the form of the verb,flew   or : flowed,flew   or : flowed every day.,flew   or : floweds,had flowed,flew   or : flowed,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: flew   or : flowed"
1,0,46,ch1-p00-034,"While Ali (have) a shower, somebody knocked at the front door. (Correct the form of the verb)",Correct the form of the verb,had,was having,has,is having,was having,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was having"
1,0,47,ch1-p00-038,Smoking is terriblc. You should (give / up / it) (Put in the correct order),give / up / it,gave,gives,Smoking is terrible. You should give It up,is giving,Smoking is terrible. You should give It up,1,False,1,"✅ الجواب الصحيح: Smoking is terrible. You should give It up 
📌 راجع قاعدة give / up / it في الكتاب المدرسي"
1,0,48,ch1-p00-040,Most smokers (take up/it) as teenagers. (Put in the correct order),Put in the correct order,take it up,it up take,take up it,up it take,take it up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: take it up"
1,0,49,ch1-p00-041,These trousers were too long so (l\took up\them) to make them fit. (Put in the correct order),Put in the correct order,took them up I,I took them up,I up them took,up them took I,I took them up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I took them up"
1,0,50,ch1-p00-042,Can you (pick up/it)? (Put phrasal verb in order),Put phrasal verb in order,Can you pick it up?,you pick it up? Can,Can up? it pick you,up? it pick you Can,Can you pick it up?,1,False,2,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: Can you pick it up?"
1,0,51,ch1-p00-043,I've already / turn down / it . ( Put in the correct order ),Correct the verb,I'v already turn it down every day.,I'v already turn it downs,had down,I'v already turn it down,I'v already turn it down,1,False,2,"✅ الجواب الصحيح: I'v already turn it down
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,52,ch1-p00-044,I'll /turn down lit /in a minute. (Put in the correct order),Put in the correct order,turn it down in a minute I'll,I'll minute a in down it turn,I'll turn it down in a minute,minute a in down it turn I'll,I'll turn it down in a minute,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I'll turn it down in a minute"
1,0,53,ch1-p00-046,I can't remember when I / took up / it . (Put in the correct order),Put in the correct order,can't remember when I took it up I,I up it took I when remember can't,up it took I when remember can't I,I can't remember when I took it up,I can't remember when I took it up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I can't remember when I took it up "
1,0,54,ch1-p00-047,Can you / turn down / it? ( Put in the correct order ),Correct the verb,Can you turn it down ? every day.,Can you turn it down ?s,Can you turn it down ?,had ?,Can you turn it down ?,1,False,1,"✅ الجواب الصحيح: Can you turn it down ?
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,55,ch1-p00-048,Can you / the music /turn down? (put in the correct order),put in the correct order,the music down. Or : turn down the music turn,turn the music down.     Or : turn down the music,turn music the down turn : Or down. music the,music the down turn : Or down. music the turn,turn the music down.     Or : turn down the music,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: turn the music down.     Or : turn down the music"
1,0,56,ch1-p00-049,They'll / pick up / him / from the airport . (Put phrasal verb in order),Put phrasal verb in order,him up pick,pick up him,pick him up,up him pick,pick him up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: pick him up"
1,0,57,ch1-p00-052,.............It's the most important meal of the day. (Use an imperative to give advice),Use an imperative to give advice,You should miss breakfast.,Please miss breakfast.,Never miss breakfast,Don't forget to miss breakfast.,Never miss breakfast,1,False,1,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Never miss breakfast"
1,0,58,ch1-p00-055,................... Make sure you are up to date with vaccinations and take malaria medication if necessary. ( Use an imperative to give advice ),Correct the verb,Be safe when you travel every day.,Be safe when you travel,Be safe when you travels,had travel,Be safe when you travel,1,False,2,"✅ الجواب الصحيح: Be safe when you travel
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,59,ch1-p00-056,"........................Ideally, do sport three times a week for an hour. If you hate sport, go for a 20-minute walk every day. ( Use an imperative to give advice)",Correct the verb,Take some exercises every day every day.,Take some exercises every days,Take some exercises every day,had day,Take some exercises every day,1,False,2,"✅ الجواب الصحيح: Take some exercises every day
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,60,ch1-p00-057,"She (wear) glasses, but now she has contact lenses. (Use the correct form of -used to)",Use the correct form of -used to,"She used to wear glasses, but now she has contact lenses",was wearing,would wear,didn't use to wear,"She used to wear glasses, but now she has contact lenses",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: She used to wear glasses, but now she has contact lenses"
1,0,61,ch1-p00-059,"I (have) a bicycle, but someone (steal) it last week. (Use the correct form of [use to[ and the present or past simple)",Correct the verb,was haveing,"used to have a bicycle, but someone stole it last week",would have,didn't use to have,"used to have a bicycle, but someone stole it last week",1,False,2,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: used to have a bicycle, but someone stole it last week"
1,0,62,ch1-p00-060,"She (not / be) so thin, but she got very ill last year and lost a lot of weight. (Use the correct form of: use to)",Use the correct form of: use to,"She didn't use to be so thin, but she got very ill last year and lost a lot of weight every day.","She didn't use to be so thin, but she got very ill last year and lost a lot of weight","She didn't use to be so thin, but she got very ill last year and lost a lot of weights",had weight,"She didn't use to be so thin, but she got very ill last year and lost a lot of weight",1,False,2,"✅ الجواب الصحيح: She didn't use to be so thin, but she got very ill last year and lost a lot of weight
📌 راجع قاعدة Use the correct form of: use to في الكتاب المدرسي"
1,0,63,ch1-p00-061,"He (like) going out, but now he always wants to stay at home, (use the correct form of: use to)",use the correct form of: use to,was likeing,"He used to like going out, but now he always wants to stay at home",would like,didn't use to like,"He used to like going out, but now he always wants to stay at home",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: He used to like going out, but now he always wants to stay at home"
1,0,64,ch1-p00-062,Cities (not be) polluted. (Used to),Used to,used to cities be polluted,doesn't use to cities be polluted,wouldn't cities be polluted,Cities didn't use to be polluted,Cities didn't use to be polluted,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: Cities didn't use to be polluted"
1,0,65,ch1-p00-063,Girls (not go) to school (Use: use to),Use: use to,Girls didn't use to go to school every day.,Girls didn't use to go to schools,had school,Girls didn't use to go to school,Girls didn't use to go to school,1,False,1,"✅ الجواب الصحيح: Girls didn't use to go to school
📌 راجع قاعدة Use: use to في الكتاب المدرسي"
1,0,66,ch1-p00-064,"I (like) travelling, but I don't like it any more. (Use: used to)",Use: used to,was likeing,would like,"I used to like travelling, but I don't like it anymore",didn't use to like,"I used to like travelling, but I don't like it anymore",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: I used to like travelling, but I don't like it anymore"
1,0,67,ch1-p00-065,How /you have/ fun? (used to),used to,How did you use to have fun? every day.,How did you use to have fun?,How did you use to have fun?s,had fun?,How did you use to have fun?,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: How did you use to have fun?"
1,0,68,ch1-p00-066,(girls / go to school) ? . (Question with used to),Correct the verb,Did girls use to go to school? every day.,Did girls use to go to school?s,Did girls use to go to school?,had school?,Did girls use to go to school?,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: Did girls use to go to school?"
1,0,69,ch1-p00-069,"She (not / talk ) so much, but now she never stops talking. (Use the correct form of: used to)",Use the correct form of: used to,"She didn't use to talk so much, but now she never stops talking","used to she talk so much, but now she never stops talking","doesn't use to she talk so much, but now she never stops talking","wouldn't she talk so much, but now she never stops talking","She didn't use to talk so much, but now she never stops talking",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: She didn't use to talk so much, but now she never stops talking"
1,0,70,ch1-p00-070,(You / go ) to work by car? (Use: used to),Use: used to,Did you use to go to work by car? every day.,Did you use to go to work by car?,Did you use to go to work by car?s,had car?,Did you use to go to work by car?,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: Did you use to go to work by car?"
1,0,71,ch1-p00-071,"There (be) a house here, but they knocked it down two years ago. (Use the correct from of used to)",Use the correct from of used to,"There used to be a house here, but they knocked it down two years ago",was being,would be,didn't use to be,"There used to be a house here, but they knocked it down two years ago",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: There used to be a house here, but they knocked it down two years ago"
1,0,72,ch1-p00-072,"We …………… (not walk) around talking on these silly mobile things like you people today. (Use the correct form of 't used to"" )","Use the correct form of 't used to""",used to we walk around talking on these silly mobile things like you people today,doesn't use to we walk around talking on these silly mobile things like you people today,We didn't use to walk around talking on these silly mobile things like you people today,wouldn't we walk around talking on these silly mobile things like you people today,We didn't use to walk around talking on these silly mobile things like you people today,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: We didn't use to walk around talking on these silly mobile things like you people today"
1,0,73,ch1-p00-073,"Salwa (eat) meat, but now she (be) a vegetarian. (Used to)",Used to,was eating,would eat,didn't use to eat,"Salwa used to eat meat, but now she is a vegetarian","Salwa used to eat meat, but now she is a vegetarian",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: Salwa used to eat meat, but now she is a vegetarian"
1,0,74,ch1-p00-074,"He (have) his hair cut at the hairdresser's ,but now his wife cuts it for him. (Use the correct form of 't used to"" )","Use the correct form of 't used to""",was haveing,would have,He used to have his hair cut at the hairdresser's but now his wife cuts it for him,didn't use to have,He used to have his hair cut at the hairdresser's but now his wife cuts it for him,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: He used to have his hair cut at the hairdresser's but now his wife cuts it for him"
