id,chapterno,part,question_number,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,explanation,created_at
05cfd82c-acb6-454c-8621-aa314200a5c2,3,1,20,الأرشيغونيوم في بوليتركم,,تكوين الأمشاج الذكرية وانتشارها,تكوين الأمشاج الأنثوية,خزن الأمشاج حتى موعد التلقيح,نقل الأمشاج إلى موقع الإخصاب,b,الجواب: تكوين الأمشاج الأنثوية,2026-02-27 15:17:11.882371+00
06108795-832d-4107-adac-dc72e32c5406,5,2,2,مرض الهيموفيليا نزف الدم الوراثي,,نمو طبيعي للجهاز العصبي,تخثر الدم الطبيعي,أيض طبيعي للفينيل ألانين,تكوين طبيعي للهيموغلوبين,b,الجواب: تخثر الدم الطبيعي,2026-02-27 15:17:12.370442+00
08a2ca76-a54c-4bbe-8cbf-fd1c53f78265,1,3,3,البلاستيدة عديمة اللون,,في سايتوبلازم الخلايا الحيوانية فقط,في سايتوبلازم الخلايا النباتية,داخل النواة في الخلايا النباتية,في غشاء الثايلاكويد في البلاستيدة الخضراء,b,الجواب: في سايتوبلازم الخلايا النباتية,2026-02-27 15:17:11.882371+00
08a77411-b801-4855-b0b2-8d7b9cfadeb7,2,2,2,النسيج المرستيمي,,النمو الثانوي والتثخن في النبات,انقسام الخلايا والنمو,بناء كتل نسيجية داخلية في الجذور والسيقان,يكون طبقة البشرة وحماية النبات,b,الجواب: انقسام الخلايا والنمو,2026-02-27 15:17:11.882371+00
0c11a1f1-ec0d-4adf-97ad-4b1bc9a31d91,1,3,6,هيكل الخلية,,في الخلايا حقيقية النواة بشكل جهاز مميز,في سايتوبلازم الطلائعيات فقط,في النواة محيطاً بالمادة الوراثية,في غشاء الثايلاكويد في البلاستيدة,a,الجواب: في الخلايا حقيقية النواة بشكل جهاز مميز,2026-02-27 15:17:11.882371+00
0ceab05b-6bc5-41c4-a8d9-ac3f75e27bb5,3,4,14,نضج البيوض في الضفادع,,الخلايا الشهارية الجرثومية المبطنة للمبيض,البطانة الشهارية للنبيبات المنوية الملتوية,مسراق المبيض المرتبط بجدار الجسم,الأقنية الصادرة في الخصية,a,الجواب: الخلايا الشهارية الجرثومية المبطنة للمبيض,2026-02-27 15:17:11.882371+00
0dd42104-b64a-43ab-88fe-bfbbef836ed3,4,1,6,نمو التغصنات في الخلية العصبية,,تسريع انتقال السيالات العصبية,توليد الطاقة اللازمة للخلية العصبية,زيادة المساحة السطحية للخلية,حماية جسم الخلية من التلف الميكانيكي,c,الجواب: زيادة المساحة السطحية للخلية,2026-02-27 15:17:12.370442+00
0e168ff9-0dcf-448f-8505-15fae8e528e5,2,4,12,العضلة الهيكلية,,لا إرادي,شبه إرادي,إرادي,لا إرادي في بعض الأحيان,c,الجواب: إرادي,2026-02-27 15:17:11.882371+00
0e712cf1-f279-40c5-9f09-26109bc5040b,3,7,1,الخصيتان,,نقل النطف إلى القضيب فقط,إفراز السائل المنوي وتخزينه,تكوين الشرنقة الواقية للنطف,إنتاج النطف والهرمونات الجنسية,d,الجواب: إنتاج النطف والهرمونات الجنسية,2026-02-27 15:17:12.370442+00
0f9484c8-86d3-4177-a140-5aaa406a20de,1,1,8,النشاء في البطاطا,,البلاستيدات عديمة اللون,الجسيم المركزي بشكل عام,الفجوة الغذائية بشكل عام,المايتوكوندريا بشكل عام,a,الجواب: البلاستيدات عديمة اللون,2026-02-27 15:17:11.882371+00
106e3284-33b1-46de-9a11-7d28df1362df,2,3,11,الألياف الصفراء في النسيج الضام,,ذات أهمية ميكانيكية مثل الألياف البيضاء تماماً,ذات أهمية ميكانيكية ولكنها ليست قوية كالألياف البيضاء,تقدم الإسناد والدعم للأجزاء الموجودة فيها,تعمل على تليين وترطيب النسيج الضام,b,الجواب: ذات أهمية ميكانيكية ولكنها ليست قوية كالألياف البيضاء,2026-02-27 15:17:11.882371+00
1221e4de-96d2-41ae-9ea2-c91b915a8cbf,3,5,9,المبيض في الإنسان,,يوصل البيوض من المبيض إلى الرحم فقط بشكل عام,ينتج البيوض وتنضج فيه كما ينتج الهرمونات الجنسية,يمثل موقع نمو الجنين خلال الحمل بشكل عام,يفرز مواد مخاطية تسهل حركة النطف بشكل عام,b,الجواب: ينتج البيوض وتنضج فيه كما ينتج الهرمونات الجنسية,2026-02-27 15:17:12.370442+00
1253997f-cf0d-4594-bb07-e60949a8b35d,3,6,4,هرمون البروجستيرون,,الحويصلات المبيضية قبل الإباضة,الغدة النخامية في الدماغ,المشيمة خلال الأشهر الأخيرة من الحمل,الجسم الأصفر,d,الجواب: الجسم الأصفر,2026-02-27 15:17:12.370442+00
133b49d7-6c17-435b-a3da-ea6ef8cc5b27,3,1,1,تكوين النطف,,سليفات النطف,سليفات البيوض,الخلايا الجرثومية في الأنثى,البطانة الشهارية في المبيض,a,الجواب: سليفات النطف,2026-02-27 15:17:11.882371+00
1486cd66-f5ef-4c46-a4a2-f6848bbc917e,2,2,5,النسيج الوعائي,,نقل الماء والمواد الغذائية المذابة إضافة إلى الخزن والإسناد,انقسام الخلايا والنمو,يكون طبقة البشرة وحماية النبات وامتصاص الماء,يشكل كتل نسيجية داخلية في الجذور والسيقان,a,الجواب: نقل الماء والمواد الغذائية المذابة إضافة إلى الخزن والإسناد,2026-02-27 15:17:11.882371+00
15633509-69a8-4d33-88e8-5f5ca30db3b2,3,5,16,كيس الجنين السلوي,,يغذي الجنين بالمواد العضوية اللازمة,يحوي السائل السلوي,يربط الجنين بجدار الرحم الداخلي,يفرز الهرمونات اللازمة لنمو الجنين,b,الجواب: يحوي السائل السلوي,2026-02-27 15:17:12.370442+00
15a29a1f-eb3d-4ca2-b38d-76b76c9c81d6,5,1,6,المستضد MN,,سيادة غير تامة,أليلات متعددة,وراثة متأثرة بالبيئة,سيادة مشاركة,d,الجواب: سيادة مشاركة,2026-02-27 15:17:12.370442+00
15f52a2f-2198-48ed-8ea9-fb0e38b7106b,4,1,9,امتلاك الخلايا العصبية المحوار والتغصنات,,كمية الميتوكوندريا الموجودة في الخلية بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام,حجم نواة الخلية ومحتواها الجيني بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,نوعية الوظيفة التي تؤديها الخلايا حيث تقوم بنقل السيالات العصبية فيحدث فيها تمايز نسيجي يتمثل بامتلاكها المحوار والتغصنات,نوع السيتوبلازم المحيط بنواة الخلية بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام,c,الجواب: نوعية الوظيفة التي تؤديها الخلايا حيث تقوم بنقل السيالات العصبية فيحدث فيها تمايز نسيجي يتمثل بامتلاكها المحوار والتغصنات,2026-02-27 15:17:12.370442+00
1647c067-1b92-4ae1-a0ff-0f8916e38514,2,5,2,الأقراص البينية,,في نهايات الألياف العضلية القلبية في مناطق متخصصة من الأغشية البلازمية,في مركز ألياف العضلة القلبية بشكل عام ضمن السياق في أغلب الحالات,في نهايات ألياف العضلة الهيكلية بشكل عام ضمن السياق في أغلب الحالات,في بداية ألياف العضلة الملساء بشكل عام ضمن السياق في أغلب الحالات,a,الجواب: في نهايات الألياف العضلية القلبية في مناطق متخصصة من الأغشية البلازمية,2026-02-27 15:17:11.882371+00
17be0a59-dde4-4b48-9b65-0d298737cf4e,2,3,14,المخاطين الغضروفي,,سائل يتجمع في أنسجة الغضروف ويمنحه مرونته بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق في أغلب الحالات,مركب مسؤول عن صلادة النسيج الغضروفي ويجعله مقاوماً للضغط والشد يوجد في المادة بين الخلوية للنسيج الغضروفي بالإضافة إلى وجود ألياف بيض دقيقة وخلايا غضروفية,بروتين ليفي يعطي الغضروف قوة الشد فقط بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق في أغلب الحالات,مادة دهنية توجد في المادة بين الخلوية للغضروف بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق في أغلب الحالات,b,الجواب: مركب مسؤول عن صلادة النسيج الغضروفي ويجعله مقاوماً للضغط والشد يوجد في المادة بين الخلوية للنسيج الغضروفي بالإضافة إلى وجود ألياف بيض دقيقة وخلايا غضروفية,2026-02-27 15:17:11.882371+00
17e1cb9b-6c24-4525-80a4-0aa5a3657380,4,1,16,القطع الجسمية في الرميح,,من طبقة الأديم الظاهر الخارجية,من طبقة الأديم الباطن الداخلية,من طبقة الأديم المتوسط الباطن,من الجزء الأمامي من الأنبوب العصبي,c,الجواب: من طبقة الأديم المتوسط الباطن,2026-02-27 15:17:12.370442+00
182629eb-4a73-4de3-9ebe-33d606ae09d4,5,2,1,القدرة على ثني الإبهام للخلف,,صفة سائدة,صفة متنحية,صفة مرتبطة بالجنس,صفة ناتجة عن سيادة مشاركة,a,الجواب: صفة سائدة,2026-02-27 15:17:12.370442+00
187dbd5e-785b-47d2-886a-38092668eb9d,3,2,2,فتح غطاء الأبواغ في بوليتركم,,بسبب ارتفاع درجة حرارة الشمس,بسبب امتصاص الرطوبة من الهواء,بفعل الأمطار والمياه الجارية,بفعل الرياح,d,الجواب: بفعل الرياح,2026-02-27 15:17:11.882371+00
1a9c6fd3-fde6-48ec-b3c9-844e0dd960fb,2,2,8,النسيج السكلرنكيمي,,التهوية وخزن الأغذية وتوصيلها,انقسام الخلايا وإنتاج خلايا جديدة,البناء الضوئي والتنفس والخزن,الدعم والتقوية,d,الجواب: الدعم والتقوية,2026-02-27 15:17:11.882371+00
1abbeb8c-5d9b-4fdd-be86-bbc40bcfda3f,4,1,5,مراحل التكوين الجنيني,,من الطبقات الجرثومية للجنين,DNA البيضة المخصبة,من هرمونات الأم المنتقلة عبر المشيمة,من انقسامات خلايا الأديم المتوسط الباطن,b,الجواب: DNA البيضة المخصبة,2026-02-27 15:17:12.370442+00
1ae83e15-476c-4c3f-8737-1daba9865ede,1,2,16,الغشاء البلازمي,,يوجد فقط في الخلايا النباتية حول الجدار,يوجد في النواة محيطاً بالمادة الوراثية,يحيط بالسايتوبلازم في بدائية وحقيقية النوى,يوجد في الميتوكوندريا محيطاً بها,c,الجواب: يحيط بالسايتوبلازم في بدائية وحقيقية النوى,2026-02-27 15:17:11.882371+00
1c314aca-7f50-4a3a-8f0b-05c23cf637ab,2,1,11,النسيج المرستيمي البيني,,بين أنسجة النبات المستديمة وبعيداً عن القمم النامية كما في سلاميات النباتات ذوات الفلقة الواحدة,في قمم الجذور والسيقان فقط بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال,على الجانب وبموازاة السطح الخارجي للنبات بشكل عام ضمن السياق في أغلب الحالات كمفهوم,في الجذور والسيقان والأوراق ممثلاً بالقشرة واللب بشكل عام ضمن السياق في أغلب الحالات,a,الجواب: بين أنسجة النبات المستديمة وبعيداً عن القمم النامية كما في سلاميات النباتات ذوات الفلقة الواحدة,2026-02-27 15:17:11.882371+00
1c6e38ef-3a96-4261-b773-e11caec25dc7,1,2,5,هيكل الخلية,,مسؤول عن قدرة الخلية في التقلص والانبساط بشكل عام ضمن السياق في أغلب الحالات,يعطي دعامة للخلية ويحافظ على شكلها ويستعمل كوسيلة حركة وانتقال للعضيات داخل الخلية,يعمل على بناء السليلوز في جدار الخلية بشكل عام ضمن السياق في أغلب الحالات,يساهم في عملية البناء الضوئي داخل البلاستيدة بشكل عام ضمن السياق في أغلب الحالات,b,الجواب: يعطي دعامة للخلية ويحافظ على شكلها ويستعمل كوسيلة حركة وانتقال للعضيات داخل الخلية,2026-02-27 15:17:11.882371+00
1d22018f-29f5-442b-a6de-de602e89f98c,2,2,7,النسيج الكولنكيمي,,التهوية وخزن الأغذية وتوصيلها,انقسام الخلايا وإنتاج خلايا جديدة,الدعم والتقوية,البناء الضوئي والخزن والتنفس,c,الجواب: الدعم والتقوية,2026-02-27 15:17:11.882371+00
1e40b67f-c897-457c-8b58-e81f427b2d6f,2,3,20,بلازما الدم,,نقل الغازات التنفسية من الرئتين إلى الجسم,تلعب دوراً أساسياً في الحماية من الإصابات المرضية,تسبح فيها مكونات الدم الأخرى,تحرر أنزيم ثرومبوبلاستين وتحتوي على السيروتونين,c,الجواب: تسبح فيها مكونات الدم الأخرى,2026-02-27 15:17:11.882371+00
1f476d6f-0e3c-40e1-a5ca-afe3360dd22c,3,1,7,السويداء,,يساعد في نقل حبوب اللقاح إلى الميسم بشكل عام ضمن السياق,يعمل على حماية الجنين من الجفاف بشكل عام ضمن السياق,نسيج خازن للمواد الغذائية التي يعتمد عليها الجنين أثناء نموه,يقوم بإنتاج الهرمونات اللازمة لنمو الجنين بشكل عام ضمن السياق,c,الجواب: نسيج خازن للمواد الغذائية التي يعتمد عليها الجنين أثناء نموه,2026-02-27 15:17:11.882371+00
1f7b2ea9-f375-4dae-a24a-4feebd0e5785,2,2,3,نسيج الأساس,,انقسام الخلايا والنمو في النبات,يكون طبقة البشرة وحماية النبات وتبادل الغازات,يشكل كتل نسيجية داخلية في الجذور والسيقان والأوراق,نقل الماء والمواد الغذائية المذابة,c,الجواب: يشكل كتل نسيجية داخلية في الجذور والسيقان والأوراق,2026-02-27 15:17:11.882371+00
1fd29373-9c6f-4bc8-8e1b-0d49b40a88f0,1,2,2,البلاستيدة عديمة اللون,,اقتناء الطاقة الشمسية وتحويلها,تعطي ألوان الأزهار والثمار المختلفة,مراكز لتحويل السكريات إلى نشا أو دهون وبروتينات,تلعب دوراً في حركة الكروموسومات,c,الجواب: مراكز لتحويل السكريات إلى نشا أو دهون وبروتينات,2026-02-27 15:17:11.882371+00
2058fac8-3b43-44eb-b0f5-0be761894057,3,3,13,الحويصلة المنوية في البلاناريا,,تخزن النطف لحين الحاجة,تعمل على إنتاج السائل المنوي,تعمل على إنضاج النطف,تعمل على إفراز الهرمونات التناسلية,a,الجواب: تخزن النطف لحين الحاجة,2026-02-27 15:17:11.882371+00
213b3399-68f2-4d9a-a9d0-44301e6a3c43,3,5,2,البربخ في الإنسان,,تنقل النطف بسرعة وتقوم بخزنها,تنضج فيه النطف ويمثل موقع خزن النطف,توصل النطف إلى القضيب مباشرة,تفرز السائل المنوي اللازم للحركة,b,الجواب: تنضج فيه النطف ويمثل موقع خزن النطف,2026-02-27 15:17:11.882371+00
21f2ded0-632b-463e-a29e-9ec91a31d6f4,3,4,8,المسراق الخصوي في الضفدع,,يمتص المواد الغذائية لتغذية النطف,يفرز الهرمونات اللازمة لنضج النطف,يربط الخصية بالجدار الداخلي للجسم,ينقل الدم إلى الخصية,c,الجواب: يربط الخصية بالجدار الداخلي للجسم,2026-02-27 15:17:11.882371+00
221e824f-b689-4003-b875-77859133b805,5,2,5,التليف الحوصلي,,نمو طبيعي للرئتين,تخثر الدم الطبيعي,نمو طبيعي للجهاز العصبي,أيض طبيعي للفينيل ألانين,a,الجواب: نمو طبيعي للرئتين,2026-02-27 15:17:12.370442+00
2319f322-7b2f-4b68-91ad-4188500a5c16,3,1,5,التلقيح الخلطي,,الحصول على ثمار وبذور أصغر حجماً لكنها أكثر صموداً,الحصول على ثمار وبذور أكبر حجماً وأكثر عدداً وأسرع نمواً,الحصول على ثمار تتحمل ظروف البيئة الصعبة فقط,الحصول على ثمار ذات قشرة سميكة للحماية من الآفات,b,الجواب: الحصول على ثمار وبذور أكبر حجماً وأكثر عدداً وأسرع نمواً,2026-02-27 15:17:11.882371+00
23a99871-1db0-49c0-bf03-8f4c8393f27f,2,1,2,البشرة المحيطة,,الكمبيوم الوعائي,النسيج المرستيمي القمي,الكمبيوم الفليني,النسيج المرستيمي البيني,c,الجواب: الكمبيوم الفليني,2026-02-27 15:17:11.882371+00
2544e0c2-8d80-4d3d-a33c-d04ed3d36c20,2,1,13,النسيج المرستيمي الجانبي,,النمو في قمم الجذور والسيقان فقط بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,استطالة السلاميات وإعادة النمو السريع في الأوراق بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال,النمو الثانوي والتثخن في النبات حيث يكون الكمبيوم الوعائي الخشب واللحاء الثانويين ويكون الكمبيوم الفليني البشرة المحيطة,انقسام الخلايا الجذرية في النبات بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,c,الجواب: النمو الثانوي والتثخن في النبات حيث يكون الكمبيوم الوعائي الخشب واللحاء الثانويين ويكون الكمبيوم الفليني البشرة المحيطة,2026-02-27 15:17:11.882371+00
27bcc0b9-44f0-4c37-9c99-6cc8ce3dbd7a,3,5,8,الجسم الطرفي,,في القبعة الرأسية عند الحافة الأمامية لنطفة الإنسان,في منطقة الذيل اللولبي للنطفة بشكل عام ضمن السياق,في الجزء الأوسط من جسم النطفة بشكل عام ضمن السياق,في القسم الأمامي من الذيل بشكل عام ضمن السياق,a,الجواب: في القبعة الرأسية عند الحافة الأمامية لنطفة الإنسان,2026-02-27 15:17:12.370442+00
280de8b0-5fba-4177-bf1b-6d0f3d4333a2,5,1,9,أشكال العرف في الدجاج وردي وبازالئي وجوزي ومفرد,,سيادة غير تامة,سيادة مشاركة,وراثة متأثرة بالبيئة,تداخل فعل جيني,d,الجواب: تداخل فعل جيني,2026-02-27 15:17:12.370442+00
291d7824-596f-4a6d-af1f-50e617c4bd87,2,2,16,ألياف اللحاء,,نقل الجزيئات العضوية داخل جسم النبات,التهوية وخزن الأغذية وتوصيلها,انقسام الخلايا وإنتاج خلايا جديدة,الإسناد والتقوية,d,الجواب: الإسناد والتقوية,2026-02-27 15:17:11.882371+00
292734d1-6d9f-4553-aec0-b53446cd4b62,2,4,18,التغصنات,,في نهاية المحوار بعيداً عن جسم الخلية,في غمد الميالين المحيط بالمحوار,في الفجوة التشابكية بين الخلايا العصبية,بروزات تمتد من جسم الخلية,d,الجواب: بروزات تمتد من جسم الخلية,2026-02-27 15:17:11.882371+00
2a177571-feec-4de5-bb4e-06020af09d50,3,1,15,أنزيم ذنب راشح البلعم البكتيري,,يعمل على تقوية جدار الخلية البكتيرية وتحصينها بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام,يمنع الفيروس من الالتصاق بجدار الخلية بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,يعمل على هضم DNA الخلية البكتيرية مباشرة بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,يعمل على إضعاف الروابط الكيميائية في جدار الخلية عند منطقة الالتصاق ومن ثم يتم تكوين ثقب يدخل من خلاله DNA الفيروس إلى داخل المضيف,d,الجواب: يعمل على إضعاف الروابط الكيميائية في جدار الخلية عند منطقة الالتصاق ومن ثم يتم تكوين ثقب يدخل من خلاله DNA الفيروس إلى داخل المضيف,2026-02-27 15:17:11.882371+00
2d86361d-f6d2-4cb7-b18e-92892e416f8b,3,3,20,الغدد المساعدة في ذكر الحشرات,,تقع في منتصف القناة التناسلية الذكرية,تقع عند بداية القناة القاذفة,توجد عند نهاية القناة الناقلة للنطف,تقع في الجزء القاعدي للخصية,b,الجواب: تقع عند بداية القناة القاذفة,2026-02-27 15:17:11.882371+00
2f0d2485-4154-41ce-8cdb-027a5443a1e0,2,2,9,نسيج البشرة,,الحماية والسيطرة على تبادل الغازات من خلال أزواج من الخلايا الحارسة وامتصاص الماء,نقل الماء والمواد الغذائية والخزن والإسناد بشكل عام ضمن السياق في أغلب الحالات,انقسام الخلايا والنمو وإنتاج خلايا جديدة بشكل عام ضمن السياق في أغلب الحالات,يشكل كتل نسيجية داخلية في الجذور والسيقان بشكل عام ضمن السياق في أغلب الحالات,a,الجواب: الحماية والسيطرة على تبادل الغازات من خلال أزواج من الخلايا الحارسة وامتصاص الماء,2026-02-27 15:17:11.882371+00
2f7513eb-6696-45ab-80d7-64b1facd2e7a,1,3,20,زيادة تركيز المواد داخل الخلايا أكثر من خارجها,,انتشار المواد من تركيز عالٍ لمنخفض,عملية النقل الفعال,التنفس الخلوي في الميتوكوندريا,البناء الضوئي في البلاستيدة الخضراء,b,الجواب: عملية النقل الفعال,2026-02-27 15:17:11.882371+00
2fa60ad3-ca7b-4e67-8bc4-7bc431f82779,3,2,6,أول ورقة تظهر في السرخسيات,,فوق الثالوس الأولي,تحت الثالوس الأولي مباشرة,على جانب الثالوس الأولي,داخل الأرشيغونيوم بعد الإخصاب,a,الجواب: فوق الثالوس الأولي,2026-02-27 15:17:11.882371+00
2ff211e7-d064-4a77-a7f8-d887fad5dd76,2,3,15,أكثر صلابة العظم من الغضروف,,لأن العظم يحتوي على ماء أقل من الغضروف بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال,لأن العظم يحتوي على كميات أكبر من الألياف البيضاء بشكل عام ضمن السياق في أغلب الحالات,لاحتواء مادته بين الخلوية على نسبة كبيرة من أملاح الكالسيوم مثل فوسفات الكالسيوم وكاربونات الكالسيوم,لأن خلايا العظم أكبر حجماً من خلايا الغضروف بشكل عام ضمن السياق في أغلب الحالات كمفهوم,c,الجواب: لاحتواء مادته بين الخلوية على نسبة كبيرة من أملاح الكالسيوم مثل فوسفات الكالسيوم وكاربونات الكالسيوم,2026-02-27 15:17:11.882371+00
30cc0ca3-c5c7-400c-9ab1-7aa596e2d7fc,4,2,10,التوائم الطفيلية,,بيضة مخصبة واحدة تنفصل بصورة غير تامة فيكون توأم ملتصق غير متساوي أحدهما صغير متطفل على الآخر,بيضة مخصبة واحدة تنقسم إلى خليتين تنمو كل منهما لجنين بشكل عام ضمن السياق في أغلب الحالات,انطلاق بيضتين منفصلتين وتخصب كل منهما بشكل عام ضمن السياق في أغلب الحالات كمفهوم,بيضة مخصبة واحدة تنفصل بصورة غير تامة فيكون توأم ملتصق بشكل عام ضمن السياق في أغلب الحالات,a,الجواب: بيضة مخصبة واحدة تنفصل بصورة غير تامة فيكون توأم ملتصق غير متساوي أحدهما صغير متطفل على الآخر,2026-02-27 15:17:12.370442+00
310d729d-1146-4501-9433-8efb36c5bc8c,2,2,15,ألياف الخشب,,نقل الماء والمعادن من الجذور إلى الأوراق,البناء الضوئي وخزن الأغذية وتوصيلها,الإسناد والتقوية,انقسام الخلايا وإنتاج خلايا جديدة,c,الجواب: الإسناد والتقوية,2026-02-27 15:17:11.882371+00
322182b8-e891-4f50-9819-8060ebce667c,5,2,11,تزوج رجل سليم من امرأة حاملة لمرض الهيموفيليا,,جميع البنات حاملات للمرض وجميع الأولاد سليمون بشكل عام,جميع الأبناء مصابون ذكوراً وإناثاً بشكل عام ضمن السياق,جميع الأولاد سليمون وجميع البنات سليمات بشكل عام ضمن السياق,50 بالمئة من الأولاد مصابون و50 بالمئة من البنات حاملات للمرض,d,الجواب: 50 بالمئة من الأولاد مصابون و50 بالمئة من البنات حاملات للمرض,2026-02-27 15:17:12.370442+00
33323746-879e-431e-ab83-2d1021780db7,3,6,15,حدوث الإخصاب في أنثى الإنسان,,في الثلث السفلي من قناة البيض,في الرحم مباشرة عند التعشيش,الثلث العلوي من قناة البيض,في المبيض أثناء عملية التبويض,c,الجواب: الثلث العلوي من قناة البيض,2026-02-27 15:17:12.370442+00
