chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,29,11,ch1-st29-b11,WI was ice — skating and I ( fall ) over. (Correct the form of the verb),Correct the form of the verb,falls,is falling,fell,was falling,fell,5,True,3,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: fell"
1,29,12,ch1-st29-b12,An average of eight hours a night is about right. (Use an Imperative to give advice),Use an Imperative to give advice,You should get enough steep.,Get enough steep,Please get enough steep.,Don't forget to get enough steep.,Get enough steep,5,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Get enough steep"
1,29,13,ch1-st29-b13,I can't remember when I (tool( up / it). (Put in the correct order),Put in the correct order,it up took,took it up,took up it,up it took,took it up,5,True,3,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: took it up"
1,29,14,ch1-st29-b14,She (tell) us to be quiet as we (make) too much noise. (Put one verb in the past simple and one in the past contin(,Correct the verb,She told us to be quite as we were making too much noise,told,tells,is telling,She told us to be quite as we were making too much noise,5,True,3,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: She told us to be quite as we were making too much noise"
1,29,15,ch1-st29-b15,I was eating breakfast and a bird (fly) into the kitchen. (Correct the form of the verb),Correct the form of the verb,flew,flies,is flying,was flying,flew,5,True,3,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: flew"
1,29,16,ch1-st29-b16,A thief took our clothes as we were (swim). (Correct),Correct,A thief took our clothes as we were swimming,swam,swims,is swimming,A thief took our clothes as we were swimming,5,True,3,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: A thief took our clothes as we were swimming"
1,29,17,ch1-st29-b17,"While Ali was having a shower, somebody (knock) at the Front door. (Correct the form of the verb)",Correct the form of the verb,knocked,knocks,is knocking,was knocking,knocked,5,True,3,"✅ الجواب الصحيح: knocked
📌 راجع قاعدة Correct the form of the verb في الكتاب المدرسي"
1,29,18,ch1-st29-b18,like those shoes. Can I (try \on\ them)? (Put in the correct order),Put in the correct order,like those shoes .Can I try them on? I,I like those shoes .Can I try them on?,I on? them try I .Can shoes those like,on? them try I .Can shoes those like I,I like those shoes .Can I try them on?,5,True,5,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I like those shoes .Can I try them on?"
1,29,19,ch1-st29-b19,"Stamp -collecting is a nice hobby, when did you (it-up-take)? [Put in the correct order]",Correct the verb,"Stamp -collecting is a nice hobby, when did you take it up? every day.","Stamp -collecting is a nice hobby, when did you take it up?","Stamp -collecting is a nice hobby, when did you take it up?s",had up?,"Stamp -collecting is a nice hobby, when did you take it up?",5,True,3,"✅ الجواب الصحيح: Stamp -collecting is a nice hobby, when did you take it up?
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,29,20,ch1-st29-b20,.............And brush your teeth three times a day. (Use an imperative to give advice),Use an imperative to give advice,You should see the dentist for regular checkups.,See the dentist for regular checkups,Please see the dentist for regular checkups.,Don't forget to see the dentist for regular checkups.,See the dentist for regular checkups,5,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: See the dentist for regular checkups"
1,29,21,ch1-st29-b21,This pencil is really old. You can / throw away / it. (Correct the form of the verb),Correct the form of the verb,This pencil is really old. You can throw it away,This pencil is really old. You can throw it away every day.,This pencil is really old. You can throw it aways,had away,This pencil is really old. You can throw it away,5,True,3,"✅ الجواب الصحيح: This pencil is really old. You can throw it away
📌 راجع قاعدة Correct the form of the verb في الكتاب المدرسي"
